                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.9974,                 2.2055,                  1.879,                  0.783,                0.48308,                0.48672,                0.17859,                 2.2988,                  1.425,                 1.7909,              0.0097855,              0.0097855,              0.0097855
                     67,                 1.9996,                 2.2077,                 1.9052,                0.73873,                0.47376,                0.47329,                0.19965,                  2.095,                 1.4202,                  1.674,              0.0097822,              0.0097822,              0.0097822
                     68,                 2.0144,                 2.1871,                 1.8899,                0.75939,                0.46696,                0.47856,                 0.2022,                 2.1572,                 1.4566,                 1.6679,              0.0097789,              0.0097789,              0.0097789
                     69,                 1.9881,                 2.1744,                  1.864,                0.78895,                0.48026,                0.55189,                0.22487,                 2.1768,                 1.4134,                  1.707,              0.0097756,              0.0097756,              0.0097756
                     70,                 2.0132,                 2.1967,                 1.8919,                0.81261,                0.47959,                0.51412,                0.21113,                 2.0561,                 1.3681,                 1.6238,              0.0097723,              0.0097723,              0.0097723
                     71,                 2.0213,                 2.2094,                 1.8804,                0.76895,                0.47734,                0.48995,                0.23244,                 2.0993,                 1.3748,                 1.6436,               0.009769,               0.009769,               0.009769
                     72,                 1.9956,                 2.1883,                 1.8617,                0.79878,                0.47499,                0.51819,                0.23987,                 2.0088,                 1.3656,                 1.5765,              0.0097657,              0.0097657,              0.0097657
                     73,                 2.0078,                 2.2007,                 1.8921,                0.78385,                0.48628,                0.51918,                0.22107,                 1.9804,                 1.4631,                 1.5601,              0.0097624,              0.0097624,              0.0097624
                     74,                 2.0063,                 2.2142,                 1.8698,                0.77557,                0.46567,                0.48613,                0.22303,                 2.1124,                 1.3748,                 1.6207,              0.0097591,              0.0097591,              0.0097591
                     75,                 1.9949,                 2.1946,                 1.8621,                0.77676,                0.48938,                  0.549,                0.25814,                 2.0518,                 1.3582,                 1.6012,              0.0097558,              0.0097558,              0.0097558
                     76,                 2.0041,                 2.1692,                 1.8757,                0.78813,                0.48796,                0.52443,                0.23327,                 2.0867,                 1.3577,                 1.6062,              0.0097525,              0.0097525,              0.0097525
                     77,                  1.986,                 2.1743,                 1.8658,                0.79681,                0.48373,                0.50832,                0.21755,                 2.0447,                 1.3913,                 1.6103,              0.0097492,              0.0097492,              0.0097492
                     78,                 2.0064,                  2.143,                 1.8591,                0.80265,                0.48748,                0.50712,                0.24556,                 1.9819,                 1.3428,                 1.5537,              0.0097459,              0.0097459,              0.0097459
                     79,                 1.9675,                  2.136,                 1.8484,                0.73151,                0.49243,                0.50266,                0.25554,                 2.0197,                 1.2731,                 1.5566,              0.0097426,              0.0097426,              0.0097426
                     80,                 1.9392,                 2.1306,                 1.8363,                0.75779,                 0.4583,                0.49487,                 0.2279,                 2.1909,                 1.3931,                 1.6846,              0.0097393,              0.0097393,              0.0097393
                     81,                 1.9671,                 2.1285,                 1.8431,                0.66045,                0.57101,                0.55298,                0.27503,                 1.9787,                 1.3341,                 1.5297,               0.009736,               0.009736,               0.009736
                     82,                 1.9594,                 2.0816,                 1.8486,                0.78149,                 0.4936,                0.55918,                 0.2274,                 2.1804,                 1.3706,                 1.6736,              0.0097327,              0.0097327,              0.0097327
                     83,                  1.958,                 2.1346,                 1.8306,                0.79138,                0.48492,                0.51916,                0.22383,                   2.17,                  1.382,                  1.671,              0.0097294,              0.0097294,              0.0097294
                     84,                 1.9635,                  2.102,                 1.8287,                0.80383,                0.48963,                0.53324,                0.26915,                 1.9423,                 1.2869,                 1.4969,              0.0097261,              0.0097261,              0.0097261
                     85,                 1.9431,                 2.1012,                  1.829,                 0.7601,                0.48196,                0.50787,                0.22297,                 2.0407,                 1.5677,                 1.5682,              0.0097228,              0.0097228,              0.0097228
                     86,                 1.9537,                 2.1117,                 1.8278,                0.76949,                0.50064,                0.56462,                0.20317,                 2.2384,                 1.4042,                 1.7067,              0.0097195,              0.0097195,              0.0097195
